制式,列名,IEID
NR,NR_EVENT_A2_THRESHOLD_RSRP,LAST(61802)
NR,NR_EVENT_A2_HYSTERIS,LAST(61803)
NR,NR_EVENT_A2_TIME_TO_TRIGGER,LAST(61804)
NR,NR_EVENT_B1_THRESHOLD_RSRP,LAST(61805)
NR,NR_EVENT_B1_HYSTERIS,LAST(61806)
NR,NR_EVENT_B1_TIME_TO_TRIGGER,LAST(61807)
NR,NR_EVENT_B2_THRESHOLD_RSRP,LAST(61808)
NR,NR_EVENT_B2_HYSTERIS,LAST(61809)
NR,NR_EVENT_B2_TIME_TO_TRIGGER,LAST(61810)
NR,NR_EVENT_B2_THRESHOLD2EUTRA_RSRP,LAST(61811)
LTE,LTE_EVENT_A2_THRESHOLD_RSRP,LAST(61812)
LTE,LTE_EVENT_A2_HYSTERIS,LAST(61813)
LTE,LTE_EVENT_A2_TIME_TO_TRIGGER,LAST(61814)
LTE,LTE_EVENT_B1_THRESHOLD_RSRP,LAST(61815)
LTE,LTE_EVENT_B1_HYSTERIS,LAST(61816)
LTE,LTE_EVENT_B1_TIME_TO_TRIGGER,LAST(61817)
LTE,LTE_EVENT_B2_THRESHOLD_RSRP,LAST(61818)
LTE,LTE_EVENT_B2_HYSTERIS,LAST(61819)
LTE,LTE_EVENT_B2_TIME_TO_TRIGGER,LAST(61820)
LTE,LTE_EVENT_B2_THRESHOLD2EUTRA_RSRP,LAST(61821)

